title,release_date,runtime,budget,adj_budget,revenue,adj_revenue,popularity,vote_count,vote_average
Reservoir Dogs,1992-09-02,99,1200000,2540721,2859750,6054857,43.988,12753,8.141
Pulp Fiction,1994-09-10,154,8000000,16019812,214179088,428888606,69.434,24804,8.489
Four Rooms,1995-12-09,98,4000000,7795960,4257354,8297541,23.624,2327,5.742
Jackie Brown,1997-12-25,154,12000000,22256912,39673162,73583508,21.078,5607,7.352
Kill Bill: Vol. 1,2003-10-10,111,30000000,48514054,180906076,292549571,41.229,15565,8.0
Kill Bill: Vol. 2,2004-04-16,136,30000000,47739893,152159461,242135882,31.17,12437,7.878
Death Proof,2007-05-22,113,25000000,35966751,31126421,44780649,24.237,4450,6.819
Inglourious Basterds,2009-08-19,153,70000000,97027808,321457747,445576295,80.251,19910,8.212
Django Unchained,2012-12-25,165,100000000,130299955,425368238,554254623,67.358,23794,8.161
The Hateful Eight,2015-12-25,188,44000000,55653651,155760117,197014075,31.074,12818,7.7
Once Upon a Timeâ€¦ in Hollywood,2019-07-24,162,95000000,110773041,374251247,436388935,59.378,11580,7.434
