person,gender,popularity
Harvey Keitel,M,23.147
Tim Roth,M,20.822
Michael Madsen,M,16.493
Chris Penn,M,19.209
Steve Buscemi,M,23.741
Lawrence Tierney,M,5.838
Randy Brooks,M,4.637
Kirk Baltz,M,2.565
Edward Bunker,M,5.425
Quentin Tarantino,M,27.877
Rich Turner,NS,0.6
David Steen,M,1.62
Tony Cosmo,NS,0.6
Stevo Polyi,NS,0.728
Michael Sottile,M,2.967
Robert Ruth,M,1.96
Lawrence Bender,M,1.646
Linda Kaye,F,1.38
Suzanne Celeste,NS,0.6
Steven Wright,M,3.065
Laurie Lathem,F,1.534
Maria Strova,NS,1.62
Burr Steers,M,1.22
Craig Hamann,M,1.936
Rowland Wafford,NS,0.6
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Paul Hellerman,M,0.98
Sally Menke,F,2.391
Harvey Keitel,M,23.147
Ross Katz,M,1.266
David Wasco,M,1.4
Roger Avary,M,3.456
Roger Avary,M,3.456
Ronnie Yeskel,F,1.855
Andrzej Sekula,M,1.408
Karyn Rachtman,NS,0.6
Sandy Reynolds-Wasco,F,1.4
Betsy Heimann,F,1.38
Debra Grieco,F,0.6
Richard N. Gladstein,M,0.861
Ron Bartlett,M,1.454
Monte Hellman,M,2.556
Ken Lesco,M,0.7
Mary Claire Hannan,F,1.03
Martin Kitrosser,M,2.389
Ronna B. Wallace,F,0.84
Mark Emery Moore,M,0.995
Michelle Bühler,NS,0.6
Ziad Doueiri,M,1.421
Stephen Hunter Flick,M,0.6
Kelley Dixon,F,0.84
Stephen DeLollis,NS,0.6
Rick Yale,M,0.6
Larry Fioritto,NS,0.6
Steve F.B. Smith,NS,0.6
Peggy Kennedy,NS,0.6
James Lowder,M,0.6
Brett C. Smith,NS,0.625
Curt Schulkey,M,0.6
Geoffrey G. Rubay,M,0.6
Jonathan Bobbitt,NS,0.84
Jonathan R. Hodges,NS,0.6
David E. Stone,M,0.6
Marian Green,F,0.6
Jamie Beardsley,F,1.052
Jeannie H. Kelly,NS,0.6
Jacqueline Aronson,NS,0.6
Bruce Comtois,M,0.6
Jennifer Pyken,F,0.694
Charles Ewing Smith,NS,0.6
Ken Segal,M,0.6
Mary Louise Rodgers,NS,0.6
Kelly Kiernan,F,0.6
Enid L. Kantor,NS,0.6
Marino Pascal,NS,0.6
Ric Urbauer,NS,0.6
Iain Jones,NS,0.6
Rachel Tanner,NS,0.6
Suzanne Celeste,NS,0.6
David Coffee,NS,0.6
Wayne Alexander,NS,0.6
Warren Betts,NS,0.6
Melanie Molyneux,NS,0.6
Ben C. Giller,NS,0.622
Marina Bailey,NS,0.6
Chuck Winston,NS,0.6
Jay Dahlquist,NS,0.6
Joey D. Brown,NS,0.6
Greg R. McCullough,NS,0.6
Billy A. Fox,NS,0.6
R. Blaine Currier,NS,0.6
Dwayne S. Henkel,NS,0.6
John Hulsman,NS,0.6
Cecilia Perna,NS,0.6
John Lieberman,NS,0.6
Dink Adams,NS,0.6
Andy Spilkoman,NS,0.6
Nancy Lynn Hurlbut,NS,0.6
Dennis K. Wilson,NS,0.694
Randall Guth,NS,0.6
Mark Lass,NS,0.6
Judith E. Goldman,NS,0.6
Mary Santiago,F,0.6
Robert John Speer,NS,0.6
Pat Domenico,NS,0.6
Wendy Baker,NS,0.6
John Travolta,M,37.647
Samuel L. Jackson,M,53.233
Uma Thurman,F,31.486
Bruce Willis,M,34.137
Ving Rhames,M,21.636
Harvey Keitel,M,23.147
Eric Stoltz,M,21.967
Tim Roth,M,20.822
Amanda Plummer,F,23.213
Maria de Medeiros,F,8.038
Quentin Tarantino,M,27.877
Christopher Walken,M,32.782
Rosanna Arquette,F,25.37
Peter Greene,M,18.38
Duane Whitaker,M,2.84
Angela Jones,F,7.127
Phil LaMarr,M,7.423
Steve Buscemi,M,23.741
Bronagh Gallagher,F,7.15
Laura Lovelace,F,4.424
Frank Whaley,M,24.442
Burr Steers,M,1.22
Paul Calderon,M,6.326
Jerome Patrick Hoban,M,0.98
Michael Gilden,M,3.882
Gary Shorelle,NS,0.98
Susan Griffiths,F,4.668
Eric Clark,NS,1.614
Joseph Pilato,M,4.176
Brad Blumenthal,M,2.391
Lorelei Leslie,F,3.007
Emil Sitka,M,1.087
Brenda Hillhouse,F,1.661
Chandler Lindauer,NS,2.023
Sy Sher,NS,1.62
Robert Ruth,M,1.96
Rich Turner,NS,0.6
Don Blakely,M,1.997
Carl Allen,NS,0.6
Karen Maruyama,F,3.172
Kathy Griffin,F,4.21
Venessia Valentino,F,3.336
Linda Kaye,F,1.38
Stephen Hibbert,M,1.346
Alexis Arquette,F,4.884
Julia Sweeney,F,5.475
Lawrence Bender,M,1.646
Cie Allman,F,1.38
Rene Beard,M,0.6
Lori Pizzo,F,1.4
Glendon Rich,M,0.98
Devan Richardson,NS,0.6
Ani Sava,F,0.713
Richard Rossi,M,1.38
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Heidi Vogel,F,0.6
Paul Hellerman,M,0.98
Jennifer Beals,F,28.327
Sally Menke,F,2.391
Danny DeVito,M,37.988
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
David Wasco,M,1.4
Tatiana S. Riegel,F,1.619
Roger Avary,M,3.456
Bill Unger,M,0.6
Ronnie Yeskel,F,1.855
Michael Shamberg,M,4.653
Stacey Sher,F,2.524
Dean Beville,NS,0.6
Andrzej Sekula,M,1.408
Karyn Rachtman,NS,0.6
Ken King,NS,0.6
Ruth Lambert,F,1.96
Gary M. Zuckerbrod,M,0.98
Charles Collum,M,0.6
Sandy Reynolds-Wasco,F,1.4
Betsy Heimann,F,1.38
Scott Spiegel,M,2.941
Ezra Dweck,NS,0.6
Richard N. Gladstein,M,0.861
Andrew Dickler,M,1.38
Ken Lesco,M,0.7
Jeff Olan,M,0.6
Mary Claire Hannan,F,1.03
Ricardo Mestres,M,0.6
Martin Kitrosser,M,2.389
Daniel Bradford,M,0.741
Lou Arkoff,M,1.62
Agnès B.,F,1.4
Stephen Martines,M,2.356
Emily Wolfe,F,0.694
Emanuel Steward,NS,0.6
Michelle Bühler,NS,0.6
Ziad Doueiri,M,1.421
Mike Simpson,M,0.828
Barbara Harris,F,1.882
Stephen Hunter Flick,M,0.6
Peter Borck,M,0.828
Terry Jackson,M,2.06
Vance Trussell,NS,0.6
Cameron,NS,0.6
Cameron,NS,0.6
Thomas L. Bellissimo,M,1.4
Larry Fioritto,NS,0.6
Lee Stollman,M,1.072
Ray Maxwell,M,0.6
Patia Prouty,NS,0.6
Derek Raser,NS,1.627
Brian Markey,M,0.98
Bob Gorelick,M,0.98
Audrey Futterman-Stern,NS,0.6
Michael Levine,NS,0.6
John A. Johnston,NS,0.6
Catherine Rowe,NS,0.773
Deborah Wuliger,NS,0.6
Jonathan R. Hodges,NS,0.6
Linda Arnold,F,0.6
Cathryn Jaymes,NS,0.6
Dana Gustafson,NS,0.6
Donald Likovich,NS,0.6
Kevin McTurk,NS,0.6
Kathy Nelson,F,0.6
Linda R. Chen,NS,1.38
Billy Gottlieb,M,1.22
Adam Silver,M,1.541
Mary Ramos,F,0.6
Samantha Gore,NS,0.6
Jacqueline Aronson,NS,0.6
Bill Fletcher,NS,0.6
Rolf Johnson,NS,0.6
Mike Stanwick,M,0.6
Bruce Jagoda,NS,0.6
Matthew C. Beville,NS,0.6
Haley Sweet,F,0.98
Larry Scharf,NS,0.6
Marc Meisenheimer,NS,0.6
Kelly Kiernan,F,0.6
Anna-Lisa Nilsson,F,0.6
Judee Flick,NS,0.6
Marc Gillson,NS,0.6
Derek Hurd,NS,0.6
Ben Parker,NS,0.6
Iain Jones,NS,0.6
Iain Jones,NS,0.6
Giuseppe Maini III,NS,0.6
Mark Shane Davis,M,0.6
Chris Ahern,NS,0.694
Joseph W. Grafmuller,NS,0.6
Gary L. Brennan,NS,0.6
Alonzo Brown Jr.,NS,1.22
Angelo de la Cruz,NS,0.6
Ruben Cortez,NS,0.6
Francis R. Mahony III,M,0.6
Anthony Hall,NS,0.6
Michael Stocks,NS,0.6
Kristen Becht,NS,0.6
Rory Dauson,NS,0.6
Jeff Courtie,M,0.6
Kevin McTurk,NS,0.6
Zane,NS,0.6
Chris Cullen,NS,0.6
Bradley Morris,NS,0.6
Gregory C. Smith,NS,0.6
Kristin Dangl,NS,0.6
John W. Hyde Jr.,NS,0.6
Liz Chiz,NS,0.6
John Felgate,NS,0.6
Steve Ingrassia,NS,0.6
Robbie Meckler,NS,0.6
Alan Parr,NS,0.6
Kara Mazzola,NS,0.6
Chuck Kelley,NS,0.6
Michael Haddad,NS,0.6
Cheryl Cain,NS,0.6
Chris L. Winslow,NS,0.6
Andrew Ambrose,NS,0.6
Tim Roth,M,20.822
Jennifer Beals,F,28.327
Antonio Banderas,M,42.428
Valeria Golino,F,17.012
David Proval,M,7.475
Sammi Davis,F,4.621
Amanda de Cadenet,F,3.279
Madonna,F,8.837
Ione Skye,F,11.097
Lili Taylor,F,19.267
Alicia Witt,F,15.845
Tamlyn Tomita,F,15.245
Lana McKissack,F,3.409
Danny Verduzco,M,0.6
Patricia Vonne,F,1.22
Salma Hayek,F,56.348
Quentin Tarantino,M,27.877
Paul Calderon,M,6.326
Bruce Willis,M,34.137
Marisa Tomei,F,21.488
Kathy Griffin,F,4.21
Lawrence Bender,M,1.646
Kimberly Blair,F,0.6
Marc Lawrence,M,7.291
Paul Skemp,NS,0.6
Allison Anders,F,3.076
Allison Anders,F,3.076
Alexandre Rockwell,M,0.84
Alexandre Rockwell,M,0.84
Alexandre Rockwell,M,0.84
Robert Rodriguez,M,9.312
Robert Rodriguez,M,9.312
Robert Rodriguez,M,9.312
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Combustible Edison,NS,0.6
Gary Frutkoff,M,1.4
Lance Brown,M,0.6
Lawrence Bender,M,1.646
Heidi Vogel,F,0.6
Paul Hellerman,M,0.98
Paul Hellerman,M,0.98
Scott Lambert,M,0.6
Russell Gray,M,0.6
Mayne Berke,M,1.38
Sara Andrews,F,0.6
Sally Menke,F,2.391
Guillermo Navarro,M,1.749
Mark Mothersbaugh,M,1.004
Andrzej Sekula,M,1.408
Karyn Rachtman,NS,0.6
Elena Maganini,NS,0.699
Phil Parmet,M,0.98
Randi Hiller,F,1.957
Wayne Fitzgerald,NS,1.4
Mary Claire Hannan,F,1.03
Jonathan Brown,M,0.703
Susan L. Bertram,F,1.38
Erik C. Andersen,NS,0.6
Debbie Hayn-Cass,NS,1.094
Debbie Hayn-Cass,NS,1.094
Douglas Aarniokoski,M,1.599
Rodrigo García,M,2.996
Jay Nierenberg,M,0.98
Chuck Jones,M,3.221
Ermahn Ospina,NS,1.22
Ziad Doueiri,M,1.421
Barbara Harris,F,1.882
Tiffanie DeBartolo,NS,0.98
Margaret Goodspeed,F,0.6
Toni G,F,0.98
Fernando Altschul,NS,0.6
Ray Maxwell,M,0.6
Jayne-Ann Tenggren,F,0.6
Tim Tuchrello,NS,0.648
Brian Markey,M,1.094
Robert Earl Craft,NS,0.629
Dawn Todd Curfman,F,0.62
Zack Davis,NS,0.6
Becky Sullivan,F,0.6
Pawel Wdowczak,M,1.004
Glenn Hoskinson,M,0.6
Thom 'Coach' Ehle,NS,0.6
Denise Okimoto,F,0.6
P. Gerald Knight,NS,0.6
Bruce Fortune,NS,0.6
Kyle Oliver,NS,0.84
Jacqueline Aronson,NS,0.6
Lynda Reiss,F,0.6
Victor Iorillo,NS,0.6
Marisol Jiménez,NS,0.6
Mike Stanwick,M,0.6
Edgar Arellano,NS,0.6
Paul Taglianetti,NS,0.6
Nancy Willen,NS,0.6
Mynka Draper,NS,1.4
Brian Bettwy,NS,1.38
Darrell Dubovsky,NS,0.6
Paul Koronkiewicz,M,0.6
Rick Stribling,NS,0.6
Orlando,NS,0.6
Bjørn Eivind Aarskog,NS,0.6
James C. Beeson,NS,0.6
Carlos A. Chavez,NS,0.6
Marc Gillson,NS,0.6
T.D. Donnelly,NS,0.6
Elizabeth Bolden,NS,0.6
Thomas G. Marquez,NS,0.6
Paul Starr,NS,0.6
Sissy Boyd,NS,0.6
Derek Hurd,NS,0.6
Ben Parker,NS,0.6
Ben Parker,NS,0.6
Nick Roberts,NS,0.6
Patrice Carbaugh,NS,0.6
Michael Boyce Harris,NS,0.6
Dotti Thompson,NS,0.6
Bob Allen,NS,0.6
Marcel DeJure,NS,0.6
Chuck Smith,NS,0.6
Deborah Hebert,NS,0.6
David Gertz,M,0.6
Jan D. Tys,NS,0.6
Joseph W. Grafmuller,NS,0.6
Theresa Repola Mohammed,F,4.04
Kristen Becht,NS,0.6
Christina Tucker,NS,0.6
Martin Charles,NS,0.6
Mary Patvaldnieks,NS,0.6
Andrew King,NS,0.6
Vincent Cassaro,NS,0.6
Christy Sumner,F,0.6
Gregory C. Smith,NS,0.6
James Irons,NS,0.694
Bob Ivanjack,NS,0.6
Jeff Ervin,NS,0.6
Heidrun M. Williams,NS,0.6
Susan Noonan-Gero,NS,0.6
Pam Grier,F,16.421
Samuel L. Jackson,M,53.233
Robert De Niro,M,54.01
Bridget Fonda,F,26.976
Michael Keaton,M,34.262
Robert Forster,M,14.274
Michael Bowen,M,5.52
Chris Tucker,M,21.989
LisaGay Hamilton,F,4.55
Tom 'Tiny' Lister Jr.,M,11.344
Hattie Winston,F,4.471
Sid Haig,M,8.457
Aimee Graham,F,11.845
Ellis E. Williams,M,1.4
Tangie Ambrose,F,3.53
T'Keyah Crystal Keymáh,F,1.252
Vanessia Valentino,NS,0.6
Diana Uribe,NS,0.637
Renee Kelly,F,0.648
Elizabeth McInerney,F,0.6
Colleen Mayne,F,0.63
Laura Lovelace,F,4.424
Christine Lydon,F,2.877
Julia Ervin,F,0.6
Juliet Long,NS,1.094
Michelle Berube,F,1.4
Gillian White,F,2.607
Candice Briese,NS,0.6
Gary Mann,M,0.6
Jeffrey Deedrick,NS,0.6
Roy Nesvold,NS,0.6
Herbert Hans Wilmsen,NS,0.6
Mary Ann Schmidt,F,5.64
Glendon Rich,M,0.6
Denise Crosby,F,13.334
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Lawrence Bender,M,1.646
Heidi Vogel,F,0.6
Paul Hellerman,M,0.98
Sally Menke,F,2.391
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
Elmore Leonard,M,1.9
Elmore Leonard,M,1.9
Guillermo Navarro,M,1.749
Jaki Brown,F,2.037
Robyn M. Mitchell,F,0.6
David Wasco,M,1.4
Tatiana S. Riegel,F,1.619
Dean Beville,NS,0.6
Marietta Carter-Narcisse,F,0.6
Sandy Reynolds-Wasco,F,1.4
Richard N. Gladstein,M,0.861
Leonard L. Thomas,M,2.363
Ilona Herman,F,1.932
Ilona Herman,F,1.932
Steve Joyner,M,1.22
Andrew Laws,M,0.6
Andrew Laws,M,0.6
Mary L. Mastro,NS,0.6
Robert L. Stevenson,M,0.828
Jeff Olan,M,0.6
Mary Claire Hannan,F,1.03
Martin Kitrosser,M,2.389
Daniel Bradford,M,0.741
Debbie Hayn-Cass,NS,1.094
Rowland Wafford,NS,0.6
Rowland Wafford,NS,0.6
Alicia M. Tripi,F,0.6
Bob Mills,NS,0.6
David Melito,M,0.6
Joan Rowe,F,0.98
Rick Canelli,NS,1.4
Alex A. Quinn,M,1.114
Ermahn Ospina,NS,1.22
Ziad Doueiri,M,1.421
Barbara Harris,F,1.882
Stephen Hunter Flick,M,0.6
Charles Maynes,NS,0.677
Pilar Savone,F,0.6
Andrew DeCristofaro,NS,0.6
Nicholas James,M,0.6
Terry Zarchi,M,1.96
"Jason ""Jake"" Cross",M,1.095
Brian Pope,NS,0.6
Colleen Mayne,F,0.63
Warren Hamilton Jr.,NS,0.6
Thomas L. Bellissimo,M,1.96
Kiante Elam,M,0.753
Tom Kramer,M,0.6
Paul Berolzheimer,NS,0.84
Patricio A. Libenson,NS,0.6
David V. Butler,M,0.999
George A. Sack,M,0.6
David Lewis Yewdall,M,0.6
Derek Raser,NS,1.288
Douglas Dresser,NS,0.6
Steve M. Davison,M,2.236
D. Chris Smith,M,0.98
Frank A. Montaño,M,0.6
Evan T. Chen,NS,0.6
Sergio Reyes,M,0.6
Michael Minkler,M,1.22
Ed Callahan,M,1.102
Caylah Eddleblute,NS,0.828
Robert Earl Craft,NS,0.629
Dawn Todd Curfman,F,0.62
Cathy Agcayab,NS,0.6
Stephanie Flack,NS,0.98
Frank Smathers,M,0.6
Victoria Wood,F,0.6
Mariko Braswell,NS,0.6
Dan Kneece,M,2.058
Dan Kneece,M,2.058
B. Tennyson Sebastian III,NS,0.755
Dana Gustafson,NS,0.6
Don Malot,NS,0.6
Linda Yeaney,NS,0.6
Darren Michaels,M,0.6
Gary Ritchie,M,0.6
Michelle Kuznetsky,F,0.702
Mary Ramos,F,0.98
Mark Ulano,M,2.869
Jennie Harris,NS,0.6
Stephanie Johnson,NS,0.6
Ben Bumatai,NS,0.6
Kimberly Lambert,NS,0.828
Ann Kline,NS,0.6
Jerome R. Vitucci,NS,0.6
Geraldine Brezca,NS,0.6
Charles Ewing Smith,NS,1.38
Cullen G. Chambers,M,1.985
Matthew C. Beville,NS,0.6
William Paul Clark,M,1.22
Don Feeney,NS,0.6
Bruce Callahan,NS,0.6
David Lee,NS,1.38
Moore Brian,M,0.6
Gordon Tadd Eto,M,0.6
John Polce,M,0.996
Jon Michaels,M,0.6
Gwen Everman,F,0.6
Dena Allen,NS,0.6
Rick Stribling,NS,0.6
Tim Soronen,NS,0.694
Karen Dimmig,NS,0.6
Gary Burritt,M,0.98
Mike Mertens,M,0.764
Bruce Carothers,M,0.6
Brian Glazen,NS,0.6
Karla Stevens Flanigan,F,0.6
Shayne A. Wilson,NS,0.6
Roman Jakobi,NS,0.6
J.T. Thayer,NS,0.6
James Eric,NS,0.6
Judee Flick,NS,0.6
David Abrahamsen,NS,0.6
Young Vance Cohen,NS,0.6
Nathan Hathaway,NS,0.6
Bradley O'Donnell,NS,0.6
Chandler Vinar,NS,0.6
Kristen M. D'Angelo,NS,0.6
Thomas J. O'Connell,M,1.986
Steven Mann,NS,0.6
R. Derek Keener,M,0.6
Keith A. Hascher,NS,0.6
Kimberly Edwards,NS,0.6
Stephen Pizzo,NS,0.6
Geoff Teagardin,M,0.6
Tracy Thielen,M,0.6
Earl Thielen,M,0.6
Richard Chaim,NS,0.6
Kenneth Pratt,NS,0.6
Jeff Graham,NS,0.6
Courtney Pakiz,NS,0.98
John Warner,M,0.6
Norm Hvam,NS,0.6
Chris Cullen,NS,0.98
Shannon Hart,NS,0.6
Christy Sumner,F,0.6
James Irons,NS,0.694
Bob Ivanjack,NS,0.6
Cathy Ragona,NS,0.6
Cathy Ragona,NS,0.6
Dimitris Moraitis,NS,0.6
Mike Bertolina,NS,1.471
Tom Lawrence,M,0.84
Alan Kerr,M,0.6
Rick Lange,M,0.6
Linda Stevenson-Khan,NS,0.6
David Coronella,NS,0.6
Stoney Emshwiller,NS,0.6
Craig Hama,NS,0.6
Mark Hutman,NS,0.6
Gerald Martinez,NS,0.6
Patrick Parkhurst,NS,0.6
Sally Reed,NS,0.6
Scott Tabor,NS,0.6
Kathleen McCart,NS,0.6
Eric Potter,M,0.6
Anne Gentling,NS,0.6
Scot A. Nederman-Paul,NS,0.6
Stephen Saunders,NS,0.6
Tom Waisanen,NS,0.6
Josh Drew,NS,0.6
Susan D. Fowler,NS,0.6
Carolyn Duffy,NS,0.6
Lee Kartis,NS,0.6
Lin Coleman,NS,0.6
Kristin Eaton,NS,0.6
Kyle Oliver,M,0.6
Eric Greenspan,NS,0.6
Elizabeth Gregory,NS,0.6
John Katovsich,NS,0.6
Paul Burlin,NS,0.6
Curtis Clark,NS,0.6
Jeff Coffman,NS,0.6
Sunday Coony,NS,0.6
Ken Day,NS,0.6
David Garris,NS,0.6
Scotty Goudreau,NS,0.6
David Joseph,M,0.6
Erin Maguire,NS,0.6
George Nadian,NS,0.6
Laurence John Reynolds,NS,0.6
Matthew Arnold,NS,0.6
Paul Candice,NS,0.6
David Chute,M,0.6
Kim Crockett,NS,0.6
Carolyn Sara Fine,NS,0.6
Robert Gonzalez,NS,0.6
Scott A. Hale,NS,0.6
Bill Miller,NS,0.6
Bret Robins,NS,0.6
Nick Salick,NS,0.6
John Starr,NS,0.6
Teron Stevenson,NS,0.6
David Tesi,NS,0.6
Adam Wallace,NS,0.6
Peter Christian White,NS,0.6
Ann Du Val,NS,0.6
Carlos K. Goodman,NS,0.6
Jeff Springer,NS,0.6
Uma Thurman,F,31.486
Lucy Liu,F,35.01
Vivica A. Fox,F,16.018
Daryl Hannah,F,18.971
David Carradine,M,16.337
Michael Madsen,M,16.493
Julie Dreyfus,F,7.353
Chiaki Kuriyama,F,7.711
Shin'ichi Chiba,M,4.934
Gordon Liu Chia-hui,M,10.954
Michael Parks,M,5.003
Michael Bowen,M,5.52
Jun Kunimura,M,8.367
Kenji Ohba,M,4.711
Yuki Kazamatsuri,F,9.246
James Parks,M,3.283
Sakichi Satō,M,2.177
Jonathan Loughran,M,7.579
Yoshiyuki Morishita,M,1.74
Tetsuro Shimaguchi,M,0.6
Kazuki Kitamura,M,6.443
Yoji Tanaka,M,4.49
Sō Yamanaka,M,1.634
Juri Manase,F,2.744
Akaji Maro,M,5.163
Goro Daimon,M,0.6
Shun Sugata,M,3.028
Zhang Jinzhan,M,0.6
Hu Xiaohui,NS,0.6
Ambrosia Kelley,F,2.641
Sachiko Fujii,F,1.214
Shu Lan Tuan,F,2.962
